predicate location
calculate accounting
calculate accounting
consult accounting
file accounting
get accounting
leave accounting
pass accounting
review accounting
review accounting
visit accounting
board airport
board airport
book airport
buy airport
catch airport
depart airport
depart airport
depart airport
depart airport
fly airport
get_along_with airport
land airport
land airport
land airport
sit airport
buy amusement_park
buy amusement_park
eat amusement_park
eat amusement_park
enjoy amusement_park
ride amusement_park
ride amusement_park
ride amusement_park
ride amusement_park
swim amusement_park
buy aquarium
buy aquarium
see aquarium
see aquarium
swim aquarium
visit aquarium
watch aquarium
watch aquarium
watch aquarium
watch aquarium
analyze art_gallery
buy art_gallery
drink art_gallery
question art_gallery
read art_gallery
see art_gallery
see art_gallery
see art_gallery
see art_gallery
see art_gallery
get atm
lodge atm
lodge atm
make atm
withdraw atm
withdraw atm
withdraw atm
withdraw atm
withdraw atm
withdraw atm
bake bakery
bake bakery
bake bakery
bake bakery
buy bakery
buy bakery
buy bakery
buy bakery
buy bakery
eat bakery
order bakery
cash bank
get bank
lodge bank
lodge bank
lodge bank
lodge bank
lodge bank
lodge bank
recover bank
withdraw bank
argue bar
drink bar
drink bar
drink bar
drink bar
drink bar
meet bar
meet bar
order bar
talk bar
apply beauty_salon
curl beauty_salon
cut beauty_salon
cut beauty_salon
cut beauty_salon
get beauty_salon
make beauty_salon
pare beauty_salon
perm beauty_salon
wash beauty_salon
buy bicycle_store
buy bicycle_store
buy bicycle_store
buy bicycle_store
buy bicycle_store
consider bicycle_store
repair bicycle_store
replace bicycle_store
test_drive bicycle_store
travel bicycle_store
buy book_store
buy book_store
buy book_store
peruse book_store
read book_store
read book_store
read book_store
read book_store
read book_store
sign book_store
bowl bowling_alley
bowl bowling_alley
buy bowling_alley
eat bowling_alley
eat bowling_alley
rent bowling_alley
roll bowling_alley
sing bowling_alley
throw bowling_alley
throw bowling_alley
travel bowling_alley
board bus_station
catch bus_station
catch bus_station
disembark bus_station
enter bus_station
get bus_station
pick_up bus_station
ride bus_station
take bus_station
take_a_dare bus_station
wait bus_station
buy cafe
drink cafe
drink cafe
drink cafe
drink cafe
meet_up_with cafe
